Field,Label,Value
created,Created,2018-09-26T15:42:59.665539
description,Description,Food prices data with HXL tags
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/42db041f-7aaf-4ab4-961f-2a12096861e7/resource/12b51155-0cd3-4806-9924-61ede4077591/download/wfp_food_prices_nga.csv
id,Resource ID,12b51155-0cd3-4806-9924-61ede4077591
last_modified,Updated,2023-07-02T15:56:12.836807
metadata_modified,Metadata Updated,2023-07-02T15:56:17.019116
microdata,Microdata,False
dataset_id,Dataset ID,42db041f-7aaf-4ab4-961f-2a12096861e7
resource_type,Resource Type,file.upload
name,Resource Name,Nigeria - Food Prices
mimetype,MIME Type,
size,Size,10.0M
